"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.43167748235047e-13,0.417562894621973,0.741,0.418,5.50635927182046e-09,"2","Ndufs4"
4.45343319370135e-13,0.274176352261679,0.993,0.889,5.53339074317392e-09,"2","Gnai2"
4.56990870214704e-13,0.504915737766628,0.33,0.156,5.67811156241770e-09,"2","Upf3a"
5.05339370108209e-13,0.466242745616997,0.468,0.242,6.2788416735945e-09,"2","0610010K14Rik"
6.00086453363998e-13,0.467791699194833,0.29,0.129,7.45607418304768e-09,"2","Trpv2"
6.67335674474988e-13,0.457385457005419,0.727,0.435,8.29164575535172e-09,"2","Prdx2"
7.12261504475124e-13,0.549205142551556,0.306,0.141,8.84984919310342e-09,"2","Apopt1"
7.35740263981078e-13,0.565271532620325,0.325,0.152,9.14157277996489e-09,"2","Smim7"
7.61281354697268e-13,0.37148079349306,0.485,0.25,9.45892083211356e-09,"2","0610012G03Rik"
7.82647149390285e-13,0.308129143721229,0.485,0.247,9.72439083117429e-09,"2","Cstb"
7.87610421971027e-13,0.49637844801437,0.276,0.119,9.78605949299001e-09,"2","Flot1"
8.31430853894581e-13,0.429622076659509,0.58,0.316,1.03305283596402e-08,"2","Ramac"
8.3302622743747e-13,0.445855641160016,0.639,0.365,1.03503508759106e-08,"2","Eif4h"
8.39566432956195e-13,0.410361617456715,0.333,0.154,1.04316129294807e-08,"2","Gsr"
8.64810791650678e-13,0.42776938215089,0.565,0.307,1.07452740862597e-08,"2","1110008P14Rik"
9.14287026202657e-13,0.456586982495041,0.646,0.375,1.1360016300568e-08,"2","Mpc2"
9.51848317554787e-13,0.441091264323203,0.458,0.234,1.18267153456182e-08,"2","Elof1"
1.05730816188561e-12,0.326516572046688,0.943,0.758,1.31370539114287e-08,"2","Snrpe"
1.06480586739342e-12,0.52154421660038,0.344,0.165,1.32302129023633e-08,"2","Sec22b"
1.13846883245566e-12,0.318593230216816,0.933,0.728,1.41454752432616e-08,"2","Npc2"
1.20353519982288e-12,0.431472348165521,0.646,0.386,1.49539248577993e-08,"2","Sms"
1.36573546683285e-12,0.39287281215829,0.314,0.143,1.69692631753981e-08,"2","Bin3"
1.37573405493486e-12,0.474537486031808,0.458,0.235,1.70934956325657e-08,"2","Psmd6"
1.39836621294392e-12,0.446682812744298,0.679,0.401,1.73747001958283e-08,"2","Dctn3"
1.63239066510169e-12,0.352618182469474,0.428,0.213,2.02824540138885e-08,"2","Atp8b4"
1.7006830732197e-12,0.381084145162578,0.819,0.523,2.11309871847548e-08,"2","Mdh2"
1.71877714462464e-12,0.488037047326642,0.359,0.176,2.13558060219611e-08,"2","Vta1"
1.72180652196567e-12,0.513787171284573,0.257,0.111,2.13934460354234e-08,"2","Cops2"
1.88001034170158e-12,0.424339196658243,0.777,0.516,2.33591284956421e-08,"2","Psmb5"
1.96174798096197e-12,0.482537627881332,0.411,0.207,2.43747186634525e-08,"2","Timm8b"
1.96344030386928e-12,0.396470643640714,0.366,0.175,2.43957457755758e-08,"2","Snx2"
2.12912443737424e-12,0.35093212533269,0.672,0.381,2.64543711343749e-08,"2","Tomm5"
2.23191379583253e-12,0.421693805278069,0.663,0.381,2.77315289132191e-08,"2","Ndufc2"
2.2906288112768e-12,0.619376021395953,0.264,0.117,2.84610629801143e-08,"2","Ap1m1"
2.34035729458159e-12,0.396362982977529,0.798,0.547,2.90789393851762e-08,"2","Tmem160"
2.3540115569466e-12,0.441209238285687,0.378,0.187,2.92485935950615e-08,"2","Unc119"
2.35784547614301e-12,0.57146102960787,0.333,0.161,2.92962300410769e-08,"2","Snrpa"
2.4983036001068e-12,0.333154717989362,0.409,0.205,3.1041422231327e-08,"2","Dmac1"
2.57065397996905e-12,0.41140899700644,0.439,0.227,3.19403757011154e-08,"2","Smim15"
2.71129772961093e-12,0.395068393685501,0.732,0.433,3.36878742904159e-08,"2","Mrps21"
2.78355633259959e-12,0.496174742254215,0.287,0.131,3.45856874325499e-08,"2","Tbpl1"
3.0541388841137e-12,0.436608640275295,0.629,0.36,3.79476756351127e-08,"2","Snrpc"
3.19856480137365e-12,0.4487788081473,0.743,0.498,3.97421676570676e-08,"2","Gm19585"
3.20969689820756e-12,0.25074323249427,1,0.941,3.98804839602289e-08,"2","Cd3d"
3.47170805281956e-12,0.40163605080029,0.8,0.51,4.31359725562831e-08,"2","Cwc15"
3.49053112900436e-12,0.532594408114312,0.323,0.154,4.33698492778792e-08,"2","Osbpl9"
3.59853979249105e-12,0.396084853358261,0.734,0.459,4.47118569217013e-08,"2","Bsg"
3.61241879147764e-12,0.338075399624681,0.399,0.195,4.48843034841097e-08,"2","Capn2"
3.68658517897686e-12,0.430170227627911,0.314,0.146,4.58058208487875e-08,"2","2310009A05Rik"
3.84334951059269e-12,0.361966090339475,0.784,0.504,4.77536176691142e-08,"2","Gng2"
3.91520260210036e-12,0.532390778574807,0.273,0.121,4.8646392331097e-08,"2","Acot8"
4.28552916078489e-12,0.516585622218971,0.268,0.119,5.32476998227522e-08,"2","Mpdu1"
5.04022347179177e-12,0.384909851161885,0.803,0.532,6.26247766370127e-08,"2","Capza2"
5.17487272390065e-12,0.392030450216671,0.352,0.17,6.42977935944656e-08,"2","1700123O20Rik"
5.47818894537e-12,0.455640813537917,0.492,0.272,6.80664976462222e-08,"2","Snapc5"
5.90518246612199e-12,0.510180900217493,0.344,0.169,7.33718921415658e-08,"2","Mrps7"
6.27477227502549e-12,0.456849854445193,0.328,0.156,7.79640455171918e-08,"2","Necap2"
6.31550049946971e-12,0.384966795486192,0.447,0.229,7.84700937059111e-08,"2","Taf12"
6.31955583846801e-12,0.531674976089309,0.29,0.132,7.85204812929651e-08,"2","Ptpa"
6.89079207070988e-12,0.355953074319556,0.425,0.217,8.56180914785703e-08,"2","Pnp"
6.95354272995387e-12,0.352033342831756,0.622,0.357,8.63977684196768e-08,"2","Add3"
7.15244132273596e-12,0.296501227041165,0.686,0.416,8.88690834349943e-08,"2","Cst3"
7.20675899977118e-12,0.426369336693176,0.356,0.179,8.95439805721569e-08,"2","Bhlhe40"
7.38012862770294e-12,0.401228674625233,0.648,0.368,9.1698098199209e-08,"2","Spcs1"
7.74743571754632e-12,0.317467367317487,0.848,0.569,9.6261888790513e-08,"2","Rasgrp2"
7.79052696495724e-12,0.391884911523004,0.627,0.352,9.67972975395937e-08,"2","Actr10"
7.9797494849479e-12,0.46337739019544,0.492,0.265,9.91483873504777e-08,"2","Abhd17a"
7.99211177021767e-12,0.378104816651741,0.504,0.27,9.93019887449546e-08,"2","Igbp1"
8.59324907778449e-12,0.30787855996848,0.442,0.229,1.06771119791472e-07,"2","Ccr5"
8.68560171609107e-12,0.393532498005529,0.698,0.423,1.07918601322431e-07,"2","Npm3"
8.90908403309928e-12,0.42570940841817,0.273,0.122,1.10695369111259e-07,"2","Nubp2"
9.65522123173271e-12,0.46943501683322,0.349,0.172,1.19966123804279e-07,"2","Hras"
9.68438642360014e-12,0.366783716723521,0.86,0.598,1.20328501313232e-07,"2","Vasp"
9.69257821513598e-12,0.487825789031275,0.328,0.157,1.20430284323064e-07,"2","Mrpl35"
9.84499876471882e-12,0.395678257956647,0.527,0.287,1.22324109651631e-07,"2","Commd4"
1.07068475294748e-11,0.420190565669194,0.696,0.433,1.33032580553724e-07,"2","Ostc"
