"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.89877157381143e-102,2.3398300814206,0.337,0.074,9.14225208961491e-98,"6","Esm1"
7.36489577750941e-84,2.19824068024145,0.286,0.063,9.75995988435548e-80,"6","Atg101"
7.43100171785908e-217,2.15509793266698,0.841,0.279,9.84756347650686e-213,"6","Klrg1"
8.57487676371132e-86,2.1291713764154,0.319,0.076,1.13634266872702e-81,"6","Bin3"
4.39500193503092e-70,2.04573760583805,0.268,0.064,5.82425656430297e-66,"6","Clk3"
1.52102375106544e-87,2.01709446738311,0.349,0.088,2.01566067491192e-83,"6","Rchy1"
5.82087960608089e-60,1.95186684460749,0.265,0.071,7.71382965397839e-56,"6","Tbpl1"
3.34099015771212e-58,1.94164827224025,0.266,0.073,4.4274801570001e-54,"6","Zfp524"
3.50486604467053e-65,1.92172209403554,0.302,0.084,4.64464848239739e-61,"6","Itgam"
6.86488582214342e-227,2.90513164651271,0.648,0.128,9.09734669150446e-223,"7","Rgs1"
4.53643099905446e-221,2.65351044918372,0.857,0.295,6.01167835994696e-217,"7","Cd7"
4.34495610549329e-119,2.54383477340198,0.455,0.108,5.75793583099971e-115,"7","Serpina3g"
1.24075648453575e-115,2.46172088480048,0.375,0.073,1.64425049330677e-111,"7","Cd244a"
8.21070448816819e-80,2.38687215935233,0.269,0.053,1.08808255877205e-75,"7","Chn2"
8.81470571061962e-143,2.11806040577274,0.714,0.247,1.16812480077131e-138,"7","Cd160"
1.94930891189466e-89,2.01245815547324,0.468,0.138,2.58322417004281e-85,"7","Art2b"
2.32078637732313e-108,2.01190684822477,0.607,0.206,3.07550610722861e-104,"7","Lag3"
1.93034060242581e-48,1.96817049174031,0.304,0.098,2.55808736633468e-44,"7","Actn2"
2.66200401973165e-75,1.94811207109245,0.424,0.13,3.52768772694838e-71,"7","Cd38"
0,5.18939708264045,0.492,0.016,0,"8","Id3"
0,4.89497858991096,0.354,0.011,0,"8","Xcl1"
5.07706790015205e-209,3.83713937769188,0.25,0.015,6.7281303812815e-205,"8","Cxcl10"
3.83535138797064e-246,3.68117227055528,0.338,0.025,5.08260765933869e-242,"8","Nsg2"
1.10510356670026e-303,3.46927499863766,0.525,0.056,1.46448324659119e-299,"8","Tnfsf8"
6.09084128193089e-320,3.22990267431889,0.91,0.239,8.07158286681481e-316,"8","Slamf6"
8.70076675949712e-181,3.04045054762874,0.408,0.057,1.15302561096856e-176,"8","Adk"
3.21074178882741e-166,3.00960889620574,0.417,0.066,4.25487501855409e-162,"8","Rgs10"
6.84018455776584e-298,2.78777060821363,0.869,0.197,9.06461257595129e-294,"8","Tcf7"
5.99702360497129e-169,2.69553798422978,0.552,0.119,7.94725568130795e-165,"8","Ms4a4c"
0,4.60374156601663,0.612,0.045,0,"9","Cdc20"
0,4.36522322193121,0.95,0.074,0,"9","Ccnb2"
4.46813529622607e-211,4.2877297426348,0.264,0.014,5.92117289455879e-207,"9","Nek2"
6.2572400754037e-272,4.22323030968665,0.388,0.025,8.29209454792499e-268,"9","Cep55"
0,4.10142768299803,0.97,0.186,0,"9","Cenpa"
0,4.06666124015196,0.601,0.044,0,"9","Cdkn3"
0,4.05745293728624,0.548,0.039,0,"9","Hmmr"
7.72873189949902e-207,3.877737056732,0.325,0.023,1.02421155132161e-202,"9","2610318N02Rik"
3.66478323140508e-246,3.83931610615091,0.452,0.041,4.85657073825802e-242,"9","Ccnb1"
7.32638155500783e-150,3.65841232569213,0.264,0.022,9.70892083669637e-146,"9","Kif2c"
1.12744320608959e-151,4.37683454256725,0.828,0.315,1.49408773670993e-147,"10","Ccl4"
2.54321974027241e-197,4.20739222116327,0.759,0.18,3.370274799809e-193,"10","Ccl3"
2.1738460245531e-188,3.8284604790394,0.327,0.027,2.88078075173777e-184,"10","2900026A02Rik"
3.4543232446599e-95,3.42903469018652,0.327,0.056,4.57766916382329e-91,"10","Nr4a2"
3.02364411867151e-153,3.42101037590127,0.341,0.037,4.00693318606349e-149,"10","Sept4"
4.85258684812695e-171,3.15194283297813,0.837,0.303,6.43064809113783e-167,"10","Cd7"
3.3110151627942e-94,3.0461634383601,0.266,0.037,4.38775729373487e-90,"10","Ccrl2"
1.85096316291478e-79,3.02194133669479,0.252,0.039,2.45289638349466e-75,"10","Cela1"
4.80699761941038e-126,2.99428499379192,0.366,0.052,6.37023324524264e-122,"10","Chn2"
3.51776929795689e-123,2.84854495843889,0.429,0.075,4.66174787365248e-119,"10","Cd244a"
0,5.50983953567313,0.644,0.024,0,"11","Rsad2"
0,5.36849686765331,0.899,0.073,0,"11","Ifit1"
0,5.30297544810546,0.577,0.023,0,"11","Ifit3b"
