"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.73907670365255e-48,0.40007623399042,0.96,0.852,6.28022444768036e-44,"1","Emp3"
5.26863924031466e-48,0.832097923894905,0.481,0.274,6.98200072126498e-44,"1","Ndufs7"
2.28960559619927e-47,0.348727307291438,0.989,0.946,3.03418533608328e-43,"1","Trbc2"
2.67372613019502e-47,0.860624127776205,0.532,0.34,3.54322186773445e-43,"1","Agpat3"
1.81324405067681e-46,0.518464531131277,0.864,0.722,2.40291101595691e-42,"1","Prr13"
2.59882028732057e-46,1.11536820025018,0.338,0.169,3.44395664475722e-42,"1","Rap1gap2"
3.85742887868631e-46,0.711300617661283,0.648,0.452,5.1118647500351e-42,"1","Neat1"
4.97432073445152e-46,0.932375676206241,0.413,0.223,6.59196983729516e-42,"1","Trappc4"
9.89353588869282e-46,1.19137677984597,0.291,0.135,1.31109137596957e-41,"1","Hsd17b10"
1.28111017581744e-45,0.841265799354931,0.517,0.323,1.69772720499327e-41,"1","Osbpl3"
2.23786906334377e-45,0.909849082494742,0.4,0.213,2.96562408274316e-41,"1","BC031181"
6.08380112127171e-45,0.404731932292679,0.953,0.869,8.06225324590928e-41,"1","Hcst"
7.53813975316105e-45,1.06957113641545,0.322,0.157,9.98954280088902e-41,"1","Lsm1"
1.47692982322127e-44,0.574162497900426,0.789,0.639,1.95722740173283e-40,"1","Fyn"
5.82600051104412e-44,1.05869832762001,0.364,0.194,7.72061587723567e-40,"1","Dapk2"
6.84690589934918e-44,0.29267184020286,0.998,0.962,9.07351969781754e-40,"1","Crip1"
1.01260585940653e-43,0.686726294442364,0.675,0.506,1.34190528488553e-39,"1","H2-Q6"
3.53344176976662e-43,0.255609790428859,0.994,0.972,4.68251703329472e-39,"1","AW112010"
2.09448714243131e-42,0.825284804334274,0.508,0.322,2.77561436114997e-38,"1","Ndfip2"
2.09887628218526e-42,0.972032290894532,0.35,0.181,2.7814308491519e-38,"1","Pfdn2"
4.17887989648961e-42,0.808640790678711,0.449,0.26,5.53785163882803e-38,"1","Erp29"
4.61388593077292e-42,0.710545242308992,0.578,0.381,6.11432163546027e-38,"1","Chsy1"
5.45337237231164e-42,0.612258166933118,0.656,0.445,7.22680906778738e-38,"1","Ost4"
1.18954596187058e-41,0.6288054013034,0.638,0.434,1.57638630867089e-37,"1","Vps28"
4.26477858829504e-41,0.779465915732283,0.514,0.326,5.65168458520859e-37,"1","1110008P14Rik"
7.16275416958453e-41,0.95805881389481,0.341,0.176,9.49208182553342e-37,"1","Cdk9"
1.17098562318872e-40,0.73785238597248,0.578,0.395,1.55179014784969e-36,"1","Tm6sf1"
1.44440674448062e-40,0.911361439450722,0.392,0.219,1.91412781778572e-36,"1","Tmem128"
3.97153341817769e-40,0.89297144551858,0.362,0.193,5.26307608576908e-36,"1","Itm2c"
5.67610756164957e-40,0.45212813240167,0.834,0.671,7.52197774069801e-36,"1","Reep5"
9.17980458098861e-40,0.792667568549614,0.423,0.24,1.21650770307261e-35,"1","Nsmce4a"
1.20155007369357e-39,1.26151713720186,0.253,0.117,1.59229415765872e-35,"1","Paxx"
1.72446239628511e-39,0.499462472239332,0.685,0.439,2.28525756755703e-35,"1","Ndufb9"
1.74675729751556e-39,0.667577957680757,0.533,0.331,2.31480277066762e-35,"1","Selenof"
4.60152801283104e-39,0.65910731801786,0.55,0.355,6.0979449226037e-35,"1","Ptms"
4.30979757223727e-38,0.919504456971738,0.362,0.199,5.71134374272883e-34,"1","Wbp2"
6.95013396508057e-38,0.762653911364037,0.435,0.255,9.21031753052477e-34,"1","Actr10"
9.91116031123526e-38,0.580001605093279,0.626,0.422,1.3134269644449e-33,"1","Scp2"
1.05581814278258e-37,0.985418740147342,0.354,0.196,1.39917020281548e-33,"1","Lpin1"
1.19106781104999e-37,0.69389447282757,0.478,0.29,1.57840306320345e-33,"1","Dctn3"
1.61768333929421e-37,0.360243562598224,0.963,0.86,2.14375396123268e-33,"1","S100a11"
3.68943027876316e-37,0.525488822286929,0.714,0.514,4.88923300541694e-33,"1","Tbc1d10c"
1.64852102614646e-36,0.650469115572325,0.615,0.438,2.18462006384929e-32,"1","S1pr4"
2.46863852391128e-36,0.360185523203413,0.946,0.872,3.27143977188723e-32,"1","Selplg"
3.95781498140213e-36,0.958568536760168,0.323,0.172,5.2448964133541e-32,"1","Guk1"
1.05301051886784e-35,0.616917166282903,0.525,0.33,1.39544953960366e-31,"1","Rer1"
1.70180865563557e-35,0.641731783654084,0.464,0.277,2.25523683044826e-31,"1","Ndufs4"
2.31568876717899e-35,0.781681310564063,0.387,0.22,3.0687507542656e-31,"1","Ndufb4"
4.1053288594646e-35,0.572804609268763,0.72,0.567,5.44038180456249e-31,"1","Gimap5"
4.77764289880459e-35,0.832128584461544,0.424,0.258,6.33133236949585e-31,"1","Gm30054"
5.06398455852181e-35,1.01360185856216,0.317,0.172,6.7107923369531e-31,"1","Sdcbp2"
2.2230601206331e-34,1.08144591588181,0.268,0.134,2.94599927186299e-30,"1","Zbtb32"
3.80428078085055e-34,0.908699171379774,0.382,0.227,5.04143289078315e-30,"1","Fkbp5"
1.0947900898536e-33,0.951185056186965,0.311,0.168,1.45081582707398e-29,"1","Camk2n1"
2.20736092177633e-33,0.727760224377674,0.457,0.288,2.925194693538e-29,"1","Def6"
2.92394627727881e-33,0.587693255374722,0.627,0.458,3.87481360664988e-29,"1","Pdcd10"
3.18616814741835e-33,0.899307874755205,0.331,0.184,4.2223100289588e-29,"1","Glmp"
